iter	Passed	Remaining
0	40	40555
1	94	47306
2	151	50385
3	188	47007
4	220	43957
5	251	41647
6	276	39253
7	308	38234
8	355	39097
9	385	38129
10	414	37275
11	445	36719
12	470	35689
13	499	35200
14	532	34995
15	554	34087
16	576	33361
17	603	32930
18	629	32482
19	663	32510
20	696	32448
21	729	32418
22	760	32321
23	795	32353
24	845	32985
25	886	33202
26	940	33890
27	975	33877
28	1025	34330
29	1062	34346
30	1114	34830
31	1150	34797
32	1200	35170
33	1250	35521
34	1318	36343
35	1398	37444
36	1446	37657
37	1486	37625
38	1543	38026
39	1575	37823
40	1612	37712
41	1648	37606
42	1692	37662
43	1727	37532
44	1760	37352
45	1784	37019
46	1811	36722
47	1839	36488
48	1863	36164
49	1905	36206
50	1934	35998
51	1954	35640
52	1984	35453
53	2007	35169
54	2034	34951
55	2071	34919
56	2097	34701
57	2121	34459
58	2156	34397
59	2191	34341
60	2222	34211
61	2250	34048
62	2284	33970
63	2311	33799
64	2373	34147
65	2410	34109
66	2527	35194
67	2582	35399
68	2653	35800
69	2687	35699
70	2774	36302
71	2818	36329
72	2866	36405
73	2909	36412
74	2947	36355
75	2977	36194
76	3013	36118
77	3046	36015
78	3083	35949
79	3142	36142
80	3218	36520
81	3253	36422
82	3286	36306
83	3319	36202
84	3363	36210
85	3390	36029
86	3422	35915
87	3477	36042
88	3530	36133
89	3580	36199
90	3624	36205
91	3686	36382
92	3739	36467
93	3788	36510
94	3814	36334
95	3859	36339
96	3921	36503
97	3982	36659
98	4031	36692
99	4125	37131
100	4183	37241
101	4223	37183
102	4260	37101
103	4326	37276
104	4386	37390
105	4433	37389
106	4531	37819
107	4588	37894
108	4610	37687
109	4646	37592
110	4673	37426
111	4701	37276
112	4754	37323
113	4812	37400
114	4889	37627
115	4975	37918
116	5035	37999
117	5118	38259
118	5142	38070
119	5178	37977
120	5229	37991
121	5271	37933
122	5312	37877
123	5351	37807
124	5397	37779
125	5421	37609
126	5443	37417
127	5471	37277
128	5505	37174
129	5538	37065
130	5563	36904
131	5610	36892
132	5645	36803
133	5712	36915
134	5747	36829
135	5771	36667
136	5812	36616
137	5836	36458
138	5859	36298
139	5890	36185
140	5918	36058
141	5957	35997
142	5992	35912
143	6017	35769
144	6043	35637
145	6070	35509
146	6105	35426
147	6135	35322
148	6167	35224
149	6200	35138
150	6235	35057
151	6267	34964
152	6297	34862
153	6354	34908
154	6387	34823
155	6417	34720
156	6448	34625
157	6475	34511
158	6509	34430
159	6546	34369
160	6583	34305
161	6615	34222
162	6651	34157
163	6679	34049
164	6721	34012
165	6794	34135
166	6853	34186
167	6894	34143
168	6938	34116
169	6976	34060
170	7022	34042
171	7060	33988
172	7132	34097
173	7179	34080
174	7219	34034
175	7260	33993
176	7293	33913
177	7325	33831
178	7366	33785
179	7400	33711
180	7431	33627
181	7465	33554
182	7521	33581
183	7568	33563
184	7603	33496
185	7664	33541
186	7708	33514
187	7772	33570
188	7824	33576
189	7879	33591
190	7919	33544
191	7962	33508
192	7994	33429
193	8026	33347
194	8069	33310
195	8099	33225
196	8127	33128
197	8166	33079
198	8195	32988
199	8221	32885
200	8273	32889
201	8312	32837
202	8349	32780
203	8376	32683
204	8406	32601
205	8453	32584
206	8518	32634
207	8561	32598
208	8606	32573
209	8674	32633
210	8713	32584
211	8759	32560
212	8792	32485
213	8818	32389
214	8848	32306
215	8876	32217
216	8911	32153
217	8943	32083
218	8971	31993
219	8997	31901
220	9025	31812
221	9051	31720
222	9078	31631
223	9101	31531
224	9132	31456
225	9155	31355
226	9177	31250
227	9201	31154
228	9225	31060
229	9251	30971
230	9292	30933
231	9311	30825
232	9343	30757
233	9377	30696
234	9407	30625
235	9429	30525
236	9452	30431
237	9486	30372
238	9510	30283
239	9537	30202
240	9563	30117
241	9590	30039
242	9613	29948
243	9654	29911
244	9682	29838
245	9709	29761
246	9751	29729
247	9782	29662
248	9813	29598
249	9840	29521
250	9867	29444
251	9896	29376
252	9938	29343
253	9965	29269
254	10015	29261
255	10072	29272
256	10106	29218
257	10137	29154
258	10165	29082
259	10188	28997
260	10217	28929
261	10242	28850
262	10268	28774
263	10290	28689
264	10317	28615
265	10341	28537
266	10367	28461
267	10393	28387
268	10418	28311
269	10440	28228
270	10468	28160
271	10501	28106
272	10523	28023
273	10573	28014
274	10611	27974
275	10654	27948
276	10676	27867
277	10697	27782
278	10723	27711
279	10778	27716
280	10802	27641
281	10837	27594
282	10872	27545
283	10896	27470
284	10917	27389
285	10942	27317
286	10985	27291
287	11010	27219
288	11034	27147
289	11056	27070
290	11082	27001
291	11102	26920
292	11123	26840
293	11145	26764
294	11171	26698
295	11195	26626
296	11215	26548
297	11238	26474
298	11263	26406
299	11290	26344
300	11310	26266
301	11331	26189
302	11357	26126
303	11379	26053
304	11404	25987
305	11427	25917
306	11450	25848
307	11473	25778
308	11497	25711
309	11525	25654
310	11548	25585
311	11587	25551
312	11637	25541
313	11657	25467
314	11697	25437
315	11722	25374
316	11744	25305
317	11765	25233
318	11790	25170
319	11813	25103
320	11836	25036
321	11880	25016
322	11900	24944
323	11927	24884
324	11952	24823
325	11976	24760
326	12022	24743
327	12069	24728
328	12091	24660
329	12119	24605
330	12140	24537
331	12166	24479
332	12185	24408
333	12219	24366
334	12249	24315
335	12270	24249
336	12293	24186
337	12323	24135
338	12356	24092
339	12395	24062
340	12423	24008
341	12455	23965
342	12485	23914
343	12510	23856
344	12545	23818
345	12581	23781
346	12613	23737
347	12637	23677
348	12700	23689
349	12730	23642
350	12761	23596
351	12782	23530
352	12820	23497
353	12850	23451
354	12874	23391
355	12912	23359
356	12932	23292
357	12954	23230
358	12993	23200
359	13013	23135
360	13031	23067
361	13052	23004
362	13071	22938
363	13096	22882
364	13119	22823
365	13191	22851
366	13259	22870
367	13305	22850
368	13326	22788
369	13347	22727
370	13380	22686
371	13400	22622
372	13425	22568
373	13452	22517
374	13481	22468
375	13500	22405
376	13540	22376
377	13567	22325
378	13609	22299
379	13632	22242
380	13663	22198
381	13684	22138
382	13740	22136
383	13790	22121
384	13819	22075
385	13867	22058
386	13914	22040
387	13947	21999
388	13996	21984
389	14022	21932
390	14059	21898
391	14102	21874
392	14141	21841
393	14181	21812
394	14213	21769
395	14251	21736
396	14278	21687
397	14299	21628
398	14326	21579
399	14356	21535
400	14377	21476
401	14406	21430
402	14458	21419
403	14497	21386
404	14530	21347
405	14551	21289
406	14587	21253
407	14622	21217
408	14654	21175
409	14681	21126
410	14707	21076
411	14733	21027
412	14753	20969
413	14775	20914
414	14806	20871
415	14854	20853
416	14882	20806
417	14911	20761
418	14933	20707
419	14954	20651
420	14979	20601
421	15001	20546
422	15024	20494
423	15058	20456
424	15081	20404
425	15110	20360
426	15150	20330
427	15189	20300
428	15209	20244
429	15255	20222
430	15280	20173
